"DateTime","Positive reviews","Negative reviews"
"2019-06-05 00:00:00",23,-4
"2019-06-06 00:00:00",100,-33
"2019-06-07 00:00:00",131,-29
"2019-06-08 00:00:00",67,-11
"2019-06-09 00:00:00",56,-29
"2019-06-10 00:00:00",23,-11
"2019-06-11 00:00:00",23,-10
"2019-06-12 00:00:00",32,-17
"2019-06-13 00:00:00",25,-10
"2019-06-14 00:00:00",17,-1
"2019-06-15 00:00:00",17,-2
"2019-06-16 00:00:00",24,-4
"2019-06-17 00:00:00",18,-10
"2019-06-18 00:00:00",14,-7
"2019-06-19 00:00:00",17,-2
"2019-06-20 00:00:00",18,-3
"2019-06-21 00:00:00",9,-5
"2019-06-22 00:00:00",7,-1
"2019-06-23 00:00:00",6,
"2019-06-24 00:00:00",13,-4
"2019-06-25 00:00:00",4,-2
"2019-06-26 00:00:00",5,-6
"2019-06-27 00:00:00",7,-2
"2019-06-28 00:00:00",5,-1
"2019-06-29 00:00:00",11,-3
"2019-06-30 00:00:00",128,-8
"2019-07-01 00:00:00",119,-3
"2019-07-02 00:00:00",78,-7
"2019-07-03 00:00:00",29,-4
"2019-07-04 00:00:00",39,-2
"2019-07-05 00:00:00",27,-1
"2019-07-06 00:00:00",19,-3
"2019-07-07 00:00:00",26,
"2019-07-08 00:00:00",7,-1
"2019-07-09 00:00:00",1,
"2019-07-10 00:00:00",5,
"2019-07-11 00:00:00",6,
"2019-07-12 00:00:00",,-1
"2019-07-13 00:00:00",8,-1
"2019-07-14 00:00:00",2,-2
"2019-07-15 00:00:00",5,-3
"2019-07-16 00:00:00",2,-3
"2019-07-17 00:00:00",4,
"2019-07-18 00:00:00",5,-1
"2019-07-19 00:00:00",7,
"2019-07-20 00:00:00",5,-1
"2019-07-21 00:00:00",,-1
"2019-07-22 00:00:00",3,-3
"2019-07-23 00:00:00",6,
"2019-07-24 00:00:00",2,-2
"2019-07-25 00:00:00",6,-2
"2019-07-26 00:00:00",1,-4
"2019-07-27 00:00:00",2,-4
"2019-07-28 00:00:00",1,-1
"2019-07-29 00:00:00",,
"2019-07-30 00:00:00",5,-5
"2019-07-31 00:00:00",2,-2
"2019-08-01 00:00:00",1,-2
"2019-08-02 00:00:00",2,-1
"2019-08-03 00:00:00",2,-1
"2019-08-04 00:00:00",,
"2019-08-05 00:00:00",3,
"2019-08-06 00:00:00",1,-1
"2019-08-07 00:00:00",3,
"2019-08-08 00:00:00",5,
"2019-08-09 00:00:00",3,-2
"2019-08-10 00:00:00",,-2
"2019-08-11 00:00:00",3,-2
"2019-08-12 00:00:00",5,-1
"2019-08-13 00:00:00",4,-1
"2019-08-14 00:00:00",,-1
"2019-08-15 00:00:00",11,-2
"2019-08-16 00:00:00",3,-1
"2019-08-17 00:00:00",3,-1
"2019-08-18 00:00:00",7,
"2019-08-19 00:00:00",2,-1
"2019-08-20 00:00:00",4,
"2019-08-21 00:00:00",3,-1
"2019-08-22 00:00:00",1,
"2019-08-23 00:00:00",,-1
"2019-08-24 00:00:00",,
"2019-08-25 00:00:00",,
"2019-08-26 00:00:00",5,-1
"2019-08-27 00:00:00",5,
"2019-08-28 00:00:00",13,-7
"2019-08-29 00:00:00",13,-6
"2019-08-30 00:00:00",6,-1
"2019-08-31 00:00:00",2,-3
"2019-09-01 00:00:00",14,
"2019-09-02 00:00:00",7,
"2019-09-03 00:00:00",5,
"2019-09-04 00:00:00",3,
"2019-09-05 00:00:00",1,-5
"2019-09-06 00:00:00",3,
"2019-09-07 00:00:00",1,-1
"2019-09-08 00:00:00",2,-3
"2019-09-09 00:00:00",1,
"2019-09-10 00:00:00",4,
"2019-09-11 00:00:00",,
"2019-09-12 00:00:00",4,-2
"2019-09-13 00:00:00",3,-2
"2019-09-14 00:00:00",,
"2019-09-15 00:00:00",1,-3
"2019-09-16 00:00:00",3,
"2019-09-17 00:00:00",,
"2019-09-18 00:00:00",6,-1
"2019-09-19 00:00:00",1,-1
"2019-09-20 00:00:00",1,-1
"2019-09-21 00:00:00",,
"2019-09-22 00:00:00",6,-1
"2019-09-23 00:00:00",3,-1
"2019-09-24 00:00:00",2,-2
"2019-09-25 00:00:00",,-1
"2019-09-26 00:00:00",3,
"2019-09-27 00:00:00",1,
"2019-09-28 00:00:00",4,
"2019-09-29 00:00:00",1,-1
"2019-09-30 00:00:00",,
"2019-10-01 00:00:00",1,-1
"2019-10-02 00:00:00",2,
"2019-10-03 00:00:00",3,-3
"2019-10-04 00:00:00",,
"2019-10-05 00:00:00",1,
