"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",63,
"2015-05-15 00:00:00",275,-19
"2015-05-16 00:00:00",277,-11
"2015-05-17 00:00:00",297,-43
"2015-05-18 00:00:00",339,-31
"2015-05-19 00:00:00",268,-12
"2015-05-20 00:00:00",240,-21
"2015-05-21 00:00:00",234,-36
"2015-05-22 00:00:00",211,-13
"2015-05-23 00:00:00",218,-20
"2015-05-24 00:00:00",236,-30
"2015-05-25 00:00:00",266,-35
"2015-05-26 00:00:00",209,-9
"2015-05-27 00:00:00",177,-16
"2015-05-28 00:00:00",179,-27
"2015-05-29 00:00:00",210,-18
"2015-05-30 00:00:00",194,-28
"2015-05-31 00:00:00",237,-38
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",400,-50
"2015-06-03 00:00:00",200,-31
"2015-06-04 00:00:00",197,-29
"2015-06-05 00:00:00",168,-32
"2015-06-06 00:00:00",187,-22
"2015-06-07 00:00:00",242,-55
"2015-06-08 00:00:00",222,-41
"2015-06-09 00:00:00",192,-49
"2015-06-10 00:00:00",157,-8
"2015-06-11 00:00:00",268,-30
"2015-06-12 00:00:00",369,-224
"2015-06-13 00:00:00",391,-393
"2015-06-14 00:00:00",288,-169
"2015-06-15 00:00:00",330,-113
"2015-06-16 00:00:00",322,-118
"2015-06-17 00:00:00",278,-94
"2015-06-18 00:00:00",276,-57
"2015-06-19 00:00:00",250,-71
"2015-06-20 00:00:00",239,-60
"2015-06-21 00:00:00",253,-54
"2015-06-22 00:00:00",274,-65
"2015-06-23 00:00:00",226,-45
"2015-06-24 00:00:00",204,-44
"2015-06-25 00:00:00",181,-29
"2015-06-26 00:00:00",171,-36
"2015-06-27 00:00:00",161,-31
"2015-06-28 00:00:00",190,-40
"2015-06-29 00:00:00",188,-52
"2015-06-30 00:00:00",172,-31
"2015-07-01 00:00:00",145,-27
"2015-07-02 00:00:00",150,-38
"2015-07-03 00:00:00",172,-14
"2015-07-04 00:00:00",123,-23
"2015-07-05 00:00:00",145,-30
"2015-07-06 00:00:00",155,-22
"2015-07-07 00:00:00",142,-26
"2015-07-08 00:00:00",125,-30
"2015-07-09 00:00:00",178,-40
"2015-07-10 00:00:00",181,-44
"2015-07-11 00:00:00",133,-35
"2015-07-12 00:00:00",150,-23
"2015-07-13 00:00:00",175,-59
"2015-07-14 00:00:00",149,-43
"2015-07-15 00:00:00",132,-48
"2015-07-16 00:00:00",136,-28
"2015-07-17 00:00:00",142,-29
"2015-07-18 00:00:00",124,-28
"2015-07-19 00:00:00",138,-41
"2015-07-20 00:00:00",139,-58
"2015-07-21 00:00:00",147,-36
"2015-07-22 00:00:00",146,-28
"2015-07-23 00:00:00",120,-20
"2015-07-24 00:00:00",122,-12
"2015-07-25 00:00:00",116,-24
"2015-07-26 00:00:00",169,-21
"2015-07-27 00:00:00",99,-33
"2015-07-28 00:00:00",130,-13
"2015-07-29 00:00:00",160,-15
"2015-07-30 00:00:00",137,-23
"2015-07-31 00:00:00",134,-26
"2015-08-01 00:00:00",150,-16
"2015-08-02 00:00:00",107,-26
"2015-08-03 00:00:00",134,-11
"2015-08-04 00:00:00",124,-6
"2015-08-05 00:00:00",128,-23
"2015-08-06 00:00:00",151,-19
"2015-08-07 00:00:00",119,-23
"2015-08-08 00:00:00",127,-27
"2015-08-09 00:00:00",122,-29
"2015-08-10 00:00:00",116,-24
"2015-08-11 00:00:00",142,-31
"2015-08-12 00:00:00",104,-37
"2015-08-13 00:00:00",118,-17
"2015-08-14 00:00:00",101,-26
"2015-08-15 00:00:00",113,-33
"2015-08-16 00:00:00",99,-23
"2015-08-17 00:00:00",116,-15
"2015-08-18 00:00:00",101,-30
"2015-08-19 00:00:00",125,-36
"2015-08-20 00:00:00",99,-24
"2015-08-21 00:00:00",115,-23
"2015-08-22 00:00:00",106,-25
"2015-08-23 00:00:00",99,-26
"2015-08-24 00:00:00",96,-20
"2015-08-25 00:00:00",99,-19
"2015-08-26 00:00:00",117,-17
"2015-08-27 00:00:00",101,-13
"2015-08-28 00:00:00",98,-23
"2015-08-29 00:00:00",102,-15
"2015-08-30 00:00:00",114,-22
"2015-08-31 00:00:00",139,-7
"2015-09-01 00:00:00",102,-16
"2015-09-02 00:00:00",100,-10
"2015-09-03 00:00:00",87,-3
"2015-09-04 00:00:00",106,-12
"2015-09-05 00:00:00",82,-5
"2015-09-06 00:00:00",106,-18
"2015-09-07 00:00:00",98,-12
"2015-09-08 00:00:00",86,-13
"2015-09-09 00:00:00",80,-24
"2015-09-10 00:00:00",75,-15
"2015-09-11 00:00:00",87,-19
"2015-09-12 00:00:00",68,-12
"2015-09-13 00:00:00",94,-12
"2015-09-14 00:00:00",107,-9
"2015-09-15 00:00:00",76,-10
"2015-09-16 00:00:00",163,-9
"2015-09-17 00:00:00",135,-10
"2015-09-18 00:00:00",115,-10
"2015-09-19 00:00:00",92,-4
"2015-09-20 00:00:00",112,-12
"2015-09-21 00:00:00",137,-12
"2015-09-22 00:00:00",100,-13
"2015-09-23 00:00:00",114,-11
"2015-09-24 00:00:00",113,-25
"2015-09-25 00:00:00",80,-20
"2015-09-26 00:00:00",77,-9
"2015-09-27 00:00:00",111,-24
"2015-09-28 00:00:00",115,-15
"2015-09-29 00:00:00",93,-12
"2015-09-30 00:00:00",68,-17
"2015-10-01 00:00:00",85,-4
"2015-10-02 00:00:00",69,-14
"2015-10-03 00:00:00",87,-5
"2015-10-04 00:00:00",93,-14
"2015-10-05 00:00:00",119,-16
"2015-10-06 00:00:00",82,-6
"2015-10-07 00:00:00",104,-11
"2015-10-08 00:00:00",61,-6
"2015-10-09 00:00:00",64,-5
"2015-10-10 00:00:00",94,-12
"2015-10-11 00:00:00",72,-17
"2015-10-12 00:00:00",104,-12
"2015-10-13 00:00:00",92,-13
"2015-10-14 00:00:00",84,-5
"2015-10-15 00:00:00",93,-10
"2015-10-16 00:00:00",84,-12
"2015-10-17 00:00:00",75,-6
"2015-10-18 00:00:00",117,-14
"2015-10-19 00:00:00",118,-18
"2015-10-20 00:00:00",73,-17
"2015-10-21 00:00:00",137,-16
"2015-10-22 00:00:00",179,-90
"2015-10-23 00:00:00",106,-16
"2015-10-24 00:00:00",142,-14
"2015-10-25 00:00:00",150,-17
"2015-10-26 00:00:00",151,-8
"2015-10-27 00:00:00",117,-18
"2015-10-28 00:00:00",245,-26
"2015-10-29 00:00:00",349,-35
"2015-10-30 00:00:00",261,-30
"2015-10-31 00:00:00",340,-51
"2015-11-01 00:00:00",238,-42
"2015-11-02 00:00:00",277,-46
"2015-11-03 00:00:00",273,-42
"2015-11-04 00:00:00",312,-41
"2015-11-05 00:00:00",237,-45
"2015-11-06 00:00:00",211,-35
"2015-11-07 00:00:00",204,-21
"2015-11-08 00:00:00",242,-46
"2015-11-09 00:00:00",198,-37
"2015-11-10 00:00:00",161,-27
"2015-11-11 00:00:00",160,-55
"2015-11-12 00:00:00",226,-44
"2015-11-13 00:00:00",184,-28
"2015-11-14 00:00:00",144,-26
"2015-11-15 00:00:00",165,-27
"2015-11-16 00:00:00",153,-49
"2015-11-17 00:00:00",143,-34
"2015-11-18 00:00:00",131,-27
"2015-11-19 00:00:00",132,-30
"2015-11-20 00:00:00",108,-22
"2015-11-21 00:00:00",120,-19
"2015-11-22 00:00:00",162,-27
"2015-11-23 00:00:00",132,-33
"2015-11-24 00:00:00",88,-22
"2015-11-25 00:00:00",95,-24
"2015-11-26 00:00:00",117,-18
"2015-11-27 00:00:00",245,-30
"2015-11-28 00:00:00",281,-30
"2015-11-29 00:00:00",279,-61
"2015-11-30 00:00:00",281,-44
"2015-12-01 00:00:00",213,-39
"2015-12-02 00:00:00",255,-23
"2015-12-03 00:00:00",239,-46
"2015-12-04 00:00:00",163,-37
"2015-12-05 00:00:00",178,-34
"2015-12-06 00:00:00",246,-46
"2015-12-07 00:00:00",231,-40
"2015-12-08 00:00:00",151,-28
"2015-12-09 00:00:00",135,-24
"2015-12-10 00:00:00",126,-23
"2015-12-11 00:00:00",133,-19
"2015-12-12 00:00:00",156,-22
"2015-12-13 00:00:00",160,-38
"2015-12-14 00:00:00",171,-38
"2015-12-15 00:00:00",166,-16
"2015-12-16 00:00:00",300,-25
"2015-12-17 00:00:00",571,-63
"2015-12-18 00:00:00",310,-46
"2015-12-19 00:00:00",231,-69
"2015-12-20 00:00:00",251,-70
"2015-12-21 00:00:00",255,-64
"2015-12-22 00:00:00",204,-49
"2015-12-23 00:00:00",262,-37
"2015-12-24 00:00:00",433,-74
"2015-12-25 00:00:00",346,-68
"2015-12-26 00:00:00",285,-26
"2015-12-27 00:00:00",528,-74
"2015-12-28 00:00:00",433,-38
"2015-12-29 00:00:00",443,-38
"2015-12-30 00:00:00",432,-56
"2015-12-31 00:00:00",369,-61
"2016-01-01 00:00:00",,
"2016-01-02 00:00:00",803,-132
"2016-01-03 00:00:00",488,-59
"2016-01-04 00:00:00",477,-69
"2016-01-05 00:00:00",437,-64
"2016-01-06 00:00:00",344,-68
"2016-01-07 00:00:00",282,-45
"2016-01-08 00:00:00",274,-46
"2016-01-09 00:00:00",239,-22
"2016-01-10 00:00:00",255,-37
"2016-01-11 00:00:00",227,-28
"2016-01-12 00:00:00",222,-25
"2016-01-13 00:00:00",198,-33
"2016-01-14 00:00:00",190,-28
"2016-01-15 00:00:00",163,-27
"2016-01-16 00:00:00",152,-30
"2016-01-17 00:00:00",191,-26
"2016-01-18 00:00:00",201,-16
"2016-01-19 00:00:00",173,-15
"2016-01-20 00:00:00",159,-18
"2016-01-21 00:00:00",160,-10
"2016-01-22 00:00:00",151,-28
"2016-01-23 00:00:00",163,-17
"2016-01-24 00:00:00",196,-31
"2016-01-25 00:00:00",199,-26
"2016-01-26 00:00:00",142,-20
"2016-01-27 00:00:00",114,-25
"2016-01-28 00:00:00",164,-17
