"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"Action","40437","61878277214","1530239.0685263497","8.659579592941396","4.462430189017055","600","10051","1052121","80"
"Free To Play","9592","24703120203","2575387.844349458","0.0667003753127607","9.72809378445946","0","0","93954","0"
"Adventure","39064","36319444732","929742.0830432111","9.12090978905843","4.798171227728657","973","13786","691312","134"
"Massively Multiplayer","2245","11922852922","5310847.626726058","5.766815144766054","20.694483137386307","898","30616","7968237","8"
"Strategy","19193","16445734650","856861.0769551399","9.9296175689019","9.04259529249528","998","19519","1281782","116"
"RPG","18008","24115266201","1339141.8370168814","10.533226343844145","8.324184349197967","1741","32479","1761166","178"
"Indie","69353","20785767762","299709.7135235678","7.1165642437898535","4.763770168517981","593","7530","321197","80"
"Simulation","20247","15894604322","785035.0334370524","10.849592532222898","7.95533801581259","1653","25005","1235879","215"
"Early Access","9698","4289536958","442311.50319653534","8.685369148278975","5.7430129767827","539","7521","418753","79"
"Racing","3596","1634306545","454479.01696329255","14.153787541711955","4.579412779774725","553","9382","616491","68"
"Sports","4235","2043263075","482470.6198347107","15.131586776858349","7.648643028981761","891","13410","566922","140"
"Casual","42764","6371133887","148983.58168085307","6.751647881390185","5.180833893751234","388","3874","137243","54"
