label,id,numberOfGames,totalRevenue,averageRevenue,averagePrice,averagePlayTime,medianRevenue,top25,top5,bottom30
FPS,FPS,4751,26290522408,5533681.837086929,8.279387497368994,4.368402077504984,629,16779,3824686,80
Shooter,Shooter,8568,28547905573,3331921.7522175536,6.995524042949662,3.704956033624709,287,6097,1348096,36
eSports,eSports,590,12106298058,20519149.25084746,9.360457627118521,10.070295466302696,372,16141,3031424,18
Tactical,Tactical,1622,18068518594,11139653.880394574,11.229426633785605,10.538474205545619,3234,115597,7640728,214
First-Person,First-Person,9230,24190426727,2620847.9660888407,7.586098591548973,3.7580308010424988,725,12803,1769587,105
Survival,Survival,3800,14705150184,3869776.3642105265,8.704865789474518,6.600098430246727,1446,36135,5226872,202
Battle Royale,Battle Royale,625,6559804192,10495686.7072,7.743199999999895,4.8803043768535765,104,1615,605355,2
Third-Person Shooter,Third-Person Shooter,1757,9335472221,5313302.345475242,8.751963574274164,4.4225162075110465,296,9075,5726076,33
MOBA,MOBA,290,2442579460,8422687.793103449,9.95324137931029,14.32195345993842,121,9262,1953494,0
Hero Shooter,Hero Shooter,547,2406397892,4399264.884826326,6.3039122486287775,3.584095063590436,134,1231,237925,13
Open World,Open World,3535,23255881498,6578750.070155587,12.847227722771871,10.909187093475447,7024,393681,24116804,382
Looter Shooter,Looter Shooter,437,2839160855,6496935.594965675,8.629084668192087,5.77229856333319,283,4021,8053503,26
MMORPG,MMORPG,519,3457096072,6661071.429672447,3.517649325626206,34.87904621168177,2305,143062,21556020,0
Action RPG,Action RPG,3560,6371501493,1789747.6103932585,13.253691011235155,6.189086370631456,555,17314,2110978,67
Third Person,Third Person,4293,10047013268,2340324.544141626,8.928441649196449,4.698065099728216,283,7912,4358235,26
Cyberpunk,Cyberpunk,1214,1318333110,1085941.6062602967,8.604357495881219,3.9685054677588694,866,24565,1105484,95
Nudity,Nudity,5945,2381657558,400615.23263246426,8.015574432295438,4.948500474801353,3626,35617,467046,610
Sci-fi,Sci-fi,4546,6473792998,1424063.5719313682,9.238279806422998,5.357156195682749,1153,35814,2561598,95
Futuristic,Futuristic,1234,1556426019,1261285.2666126417,7.502779578605998,4.133960974801701,242,3318,273161,14
Souls-like,Souls-like,985,3498667197,3551946.392893401,9.86717766497445,4.656045430012177,668,15190,3423418,80
Dark Fantasy,Dark Fantasy,1526,2613792413,1712839.0648754914,9.676507208387768,5.981743284793352,997,19853,1661731,138
Difficult,Difficult,4134,3847362658,930663.4392839865,7.402331881955433,4.969621043563356,1348,17465,1231073,240
Fantasy,Fantasy,6102,7382102052,1209784.0137659784,9.126020976728187,7.393162950486492,718,17277,1324120,80
CRPG,CRPG,851,1372917404,1613298.9471210341,10.550975323149077,9.138603502378253,572,11474,1184417,98
Romance,Romance,2667,1318962473,494549.10873640794,10.080869891264332,6.387310370563424,2675,30364,450621,402
Mythology,Mythology,492,1545550361,3141362.5223577237,9.19331300812995,7.7134258961181965,1298,24779,2315525,114
Action-Adventure,Action-Adventure,8163,4009470380,491176.0847727551,9.55296949650944,3.4676300994082965,231,2870,263086,32
Open World Survival Craft,Open World Survival Craft,460,5113525832,11116360.504347825,13.614782608695498,13.739488777812213,32406,729604,39627284,1853
Building,Building,2502,7059054072,2821364.537170264,11.115307753797717,10.469888234184213,4818,156734,7472458,438
Sandbox,Sandbox,3656,8736746238,2389700.830962801,10.834256017505453,10.095063616585547,3426,121000,6212927,258
Military,Military,1113,4128254181,3709123.253369272,12.224672057502076,12.30539753878534,3385,123585,13841307,190
War,War,1229,5235617255,4260062.86004882,12.529454841334244,12.91573648480754,4653,142148,12915072,310
Modern,Modern,467,592549642,1268842.9164882228,8.099400428265405,4.908698355148226,511,8613,116426,107
Dinosaurs,Dinosaurs,306,751500534,2455884.098039216,8.502222222222155,7.3580475544090165,1439,29380,2275071,142
Base Building,Base Building,1528,5090856190,3331712.1662303666,11.903625654450405,10.868594700524394,7048,193097,10130446,564
Western,Western,248,690609215,2784714.5766129033,8.795524193548365,5.247832856515242,1631,35838,1769030,202
Realistic,Realistic,3501,5003666871,1429210.7600685519,9.7537275064275,6.013453746982108,999,19831,2192226,167
Atmospheric,Atmospheric,7934,5996102441,755747.7238467355,7.929710108393334,3.7528939116521944,1052,16684,975601,145
World War II,World War II,577,1949886005,3379351.828422877,13.284280762564833,14.70255235531033,26339,162718,6250776,2972
Flight,Flight,1298,970617335,747779.1486902927,9.470986132511383,4.785989144650815,383,8968,643440,53
VR,VR,5606,2521063640,449708.10560114164,9.90737245808012,3.099567884241907,747,8215,327284,67
Tanks,Tanks,349,712726937,2042197.5272206303,8.872865329512798,7.97906430292495,809,18017,598748,69
Hack and Slash,Hack and Slash,2390,3405876668,1425052.99916318,11.36115899581665,6.249523549284822,819,33729,3628171,82
Sexual Content,Sexual Content,6515,2368080858,363481.328933231,8.47276899462693,5.115108392497592,3920,38775,546213,651
Magic,Magic,1568,1373951687,876244.6983418367,8.332142857142687,6.068731048661562,485,7389,654267,67
