"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",12,-1
"2015-05-15 00:00:00",42,-5
"2015-05-16 00:00:00",48,-4
"2015-05-17 00:00:00",51,-3
"2015-05-18 00:00:00",29,-2
"2015-05-19 00:00:00",55,-3
"2015-05-20 00:00:00",41,
"2015-05-21 00:00:00",38,
"2015-05-22 00:00:00",57,-2
"2015-05-23 00:00:00",35,-2
"2015-05-24 00:00:00",40,-1
"2015-05-25 00:00:00",50,-5
"2015-05-26 00:00:00",51,
"2015-05-27 00:00:00",37,-2
"2015-05-28 00:00:00",51,-4
"2015-05-29 00:00:00",39,-2
"2015-05-30 00:00:00",52,-2
"2015-05-31 00:00:00",38,-3
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",116,-2
"2015-06-03 00:00:00",49,
"2015-06-04 00:00:00",63,-5
"2015-06-05 00:00:00",40,-5
"2015-06-06 00:00:00",36,-3
"2015-06-07 00:00:00",58,-3
"2015-06-08 00:00:00",70,-2
"2015-06-09 00:00:00",81,
"2015-06-10 00:00:00",40,-2
"2015-06-11 00:00:00",72,-3
"2015-06-12 00:00:00",71,-5
"2015-06-13 00:00:00",266,-13
"2015-06-14 00:00:00",248,-7
"2015-06-15 00:00:00",400,-18
"2015-06-16 00:00:00",396,-10
"2015-06-17 00:00:00",254,-15
"2015-06-18 00:00:00",294,-8
"2015-06-19 00:00:00",262,-8
"2015-06-20 00:00:00",246,-15
"2015-06-21 00:00:00",267,-6
"2015-06-22 00:00:00",238,-8
"2015-06-23 00:00:00",253,-9
"2015-06-24 00:00:00",186,-5
"2015-06-25 00:00:00",166,-6
"2015-06-26 00:00:00",151,-5
"2015-06-27 00:00:00",126,-1
"2015-06-28 00:00:00",153,-5
"2015-06-29 00:00:00",106,-6
"2015-06-30 00:00:00",119,
"2015-07-01 00:00:00",90,-4
"2015-07-02 00:00:00",104,-4
"2015-07-03 00:00:00",92,-2
"2015-07-04 00:00:00",115,-3
"2015-07-05 00:00:00",70,-5
"2015-07-06 00:00:00",77,-3
"2015-07-07 00:00:00",101,-5
"2015-07-08 00:00:00",63,-5
"2015-07-09 00:00:00",82,-2
"2015-07-10 00:00:00",86,-6
"2015-07-11 00:00:00",69,-4
"2015-07-12 00:00:00",44,-3
"2015-07-13 00:00:00",91,-5
"2015-07-14 00:00:00",79,-6
"2015-07-15 00:00:00",100,-6
"2015-07-16 00:00:00",56,-2
"2015-07-17 00:00:00",68,
"2015-07-18 00:00:00",65,
"2015-07-19 00:00:00",71,-3
"2015-07-20 00:00:00",92,-4
"2015-07-21 00:00:00",69,-4
"2015-07-22 00:00:00",80,-5
"2015-07-23 00:00:00",52,
"2015-07-24 00:00:00",50,
"2015-07-25 00:00:00",78,-3
"2015-07-26 00:00:00",79,-4
"2015-07-27 00:00:00",52,-4
"2015-07-28 00:00:00",59,-6
"2015-07-29 00:00:00",60,-2
"2015-07-30 00:00:00",103,-2
"2015-07-31 00:00:00",71,-4
"2015-08-01 00:00:00",52,-6
"2015-08-02 00:00:00",78,-1
"2015-08-03 00:00:00",78,-4
"2015-08-04 00:00:00",81,-6
"2015-08-05 00:00:00",103,-4
"2015-08-06 00:00:00",56,-4
"2015-08-07 00:00:00",90,-2
"2015-08-08 00:00:00",44,-1
"2015-08-09 00:00:00",52,-7
"2015-08-10 00:00:00",56,-4
"2015-08-11 00:00:00",73,-6
"2015-08-12 00:00:00",248,-16
"2015-08-13 00:00:00",445,-18
"2015-08-14 00:00:00",302,-11
"2015-08-15 00:00:00",281,-16
"2015-08-16 00:00:00",150,-9
"2015-08-17 00:00:00",146,-10
"2015-08-18 00:00:00",169,-2
"2015-08-19 00:00:00",104,-11
"2015-08-20 00:00:00",126,-2
"2015-08-21 00:00:00",107,-4
"2015-08-22 00:00:00",116,-7
"2015-08-23 00:00:00",150,-2
"2015-08-24 00:00:00",53,-4
"2015-08-25 00:00:00",116,-10
"2015-08-26 00:00:00",63,-4
"2015-08-27 00:00:00",77,-3
"2015-08-28 00:00:00",48,-4
"2015-08-29 00:00:00",85,-2
"2015-08-30 00:00:00",68,-4
"2015-08-31 00:00:00",51,-2
"2015-09-01 00:00:00",69,-4
"2015-09-02 00:00:00",52,
"2015-09-03 00:00:00",57,-5
"2015-09-04 00:00:00",39,
"2015-09-05 00:00:00",64,-1
"2015-09-06 00:00:00",69,-3
"2015-09-07 00:00:00",65,-2
"2015-09-08 00:00:00",61,-6
"2015-09-09 00:00:00",59,-5
"2015-09-10 00:00:00",38,
"2015-09-11 00:00:00",42,-1
"2015-09-12 00:00:00",65,-3
"2015-09-13 00:00:00",40,-2
"2015-09-14 00:00:00",50,-2
"2015-09-15 00:00:00",46,-5
"2015-09-16 00:00:00",49,-1
"2015-09-17 00:00:00",58,-2
"2015-09-18 00:00:00",51,-2
"2015-09-19 00:00:00",63,-2
"2015-09-20 00:00:00",65,-5
"2015-09-21 00:00:00",62,
"2015-09-22 00:00:00",58,-1
"2015-09-23 00:00:00",53,-3
"2015-09-24 00:00:00",33,-1
"2015-09-25 00:00:00",57,
"2015-09-26 00:00:00",70,-1
"2015-09-27 00:00:00",95,
"2015-09-28 00:00:00",37,-4
"2015-09-29 00:00:00",62,-3
"2015-09-30 00:00:00",29,-2
"2015-10-01 00:00:00",67,-1
"2015-10-02 00:00:00",60,-2
"2015-10-03 00:00:00",47,-1
"2015-10-04 00:00:00",51,-3
"2015-10-05 00:00:00",66,-9
"2015-10-06 00:00:00",51,-6
"2015-10-07 00:00:00",33,
"2015-10-08 00:00:00",55,-1
"2015-10-09 00:00:00",56,
"2015-10-10 00:00:00",53,-3
"2015-10-11 00:00:00",49,-1
"2015-10-12 00:00:00",51,-4
"2015-10-13 00:00:00",73,-2
"2015-10-14 00:00:00",40,
"2015-10-15 00:00:00",40,-2
"2015-10-16 00:00:00",36,-2
"2015-10-17 00:00:00",47,
"2015-10-18 00:00:00",75,-5
"2015-10-19 00:00:00",50,-6
"2015-10-20 00:00:00",45,-2
"2015-10-21 00:00:00",50,
"2015-10-22 00:00:00",37,-4
"2015-10-23 00:00:00",56,
"2015-10-24 00:00:00",29,
"2015-10-25 00:00:00",28,-3
"2015-10-26 00:00:00",70,-7
"2015-10-27 00:00:00",48,-4
"2015-10-28 00:00:00",58,-2
"2015-10-29 00:00:00",55,-5
"2015-10-30 00:00:00",119,-3
"2015-10-31 00:00:00",192,-9
"2015-11-01 00:00:00",314,-5
"2015-11-02 00:00:00",171,-6
"2015-11-03 00:00:00",230,-2
"2015-11-04 00:00:00",133,-9
"2015-11-05 00:00:00",157,-4
"2015-11-06 00:00:00",96,-4
"2015-11-07 00:00:00",113,-6
"2015-11-08 00:00:00",146,-8
"2015-11-09 00:00:00",112,-7
"2015-11-10 00:00:00",80,-5
"2015-11-11 00:00:00",58,-5
"2015-11-12 00:00:00",85,-5
"2015-11-13 00:00:00",77,-4
"2015-11-14 00:00:00",60,-6
"2015-11-15 00:00:00",90,
"2015-11-16 00:00:00",118,-8
"2015-11-17 00:00:00",57,-2
"2015-11-18 00:00:00",63,-8
"2015-11-19 00:00:00",57,-4
"2015-11-20 00:00:00",59,-6
"2015-11-21 00:00:00",53,-5
"2015-11-22 00:00:00",73,-5
"2015-11-23 00:00:00",86,-5
"2015-11-24 00:00:00",49,-5
"2015-11-25 00:00:00",60,-4
"2015-11-26 00:00:00",72,-2
"2015-11-27 00:00:00",131,-2
"2015-11-28 00:00:00",177,-13
"2015-11-29 00:00:00",238,-3
"2015-11-30 00:00:00",266,-7
"2015-12-01 00:00:00",250,-10
"2015-12-02 00:00:00",172,-2
"2015-12-03 00:00:00",139,-3
"2015-12-04 00:00:00",108,-7
"2015-12-05 00:00:00",119,-5
"2015-12-06 00:00:00",158,-7
"2015-12-07 00:00:00",123,-2
"2015-12-08 00:00:00",108,-3
"2015-12-09 00:00:00",70,-3
"2015-12-10 00:00:00",82,-2
"2015-12-11 00:00:00",74,-5
"2015-12-12 00:00:00",92,-3
"2015-12-13 00:00:00",90,-4
"2015-12-14 00:00:00",100,-6
"2015-12-15 00:00:00",69,-6
"2015-12-16 00:00:00",84,
"2015-12-17 00:00:00",96,-5
"2015-12-18 00:00:00",46,-1
"2015-12-19 00:00:00",75,
"2015-12-20 00:00:00",62,-2
"2015-12-21 00:00:00",85,-5
"2015-12-22 00:00:00",59,-2
"2015-12-23 00:00:00",170,-5
"2015-12-24 00:00:00",269,-3
"2015-12-25 00:00:00",224,-15
"2015-12-26 00:00:00",192,-7
"2015-12-27 00:00:00",319,-10
"2015-12-28 00:00:00",373,-19
"2015-12-29 00:00:00",219,-9
"2015-12-30 00:00:00",283,-13
"2015-12-31 00:00:00",279,-12
"2016-01-01 00:00:00",,
"2016-01-02 00:00:00",469,-32
"2016-01-03 00:00:00",312,-14
"2016-01-04 00:00:00",363,-8
"2016-01-05 00:00:00",322,-9
"2016-01-06 00:00:00",282,-8
"2016-01-07 00:00:00",133,-3
"2016-01-08 00:00:00",157,-9
"2016-01-09 00:00:00",161,-7
"2016-01-10 00:00:00",148,-6
"2016-01-11 00:00:00",142,-4
"2016-01-12 00:00:00",91,
"2016-01-13 00:00:00",96,-5
"2016-01-14 00:00:00",112,
"2016-01-15 00:00:00",71,-6
"2016-01-16 00:00:00",128,-5
"2016-01-17 00:00:00",114,-4
"2016-01-18 00:00:00",114,-10
"2016-01-19 00:00:00",79,
"2016-01-20 00:00:00",95,
"2016-01-21 00:00:00",94,-4
"2016-01-22 00:00:00",73,-4
"2016-01-23 00:00:00",73,-1
"2016-01-24 00:00:00",132,-4
"2016-01-25 00:00:00",114,-6
"2016-01-26 00:00:00",110,-5
"2016-01-27 00:00:00",67,-2
"2016-01-28 00:00:00",80,-3
"2016-01-29 00:00:00",83,-3
"2016-01-30 00:00:00",96,-2
"2016-01-31 00:00:00",101,-12
"2016-02-01 00:00:00",111,-9
"2016-02-02 00:00:00",80,-5
"2016-02-03 00:00:00",77,-2
"2016-02-04 00:00:00",79,-4
"2016-02-05 00:00:00",58,
"2016-02-06 00:00:00",130,
"2016-02-07 00:00:00",154,-6
